State,Transaction_amount
Andaman & Nicobar,107525000.0
Andhra Pradesh,103925000000.0
Arunachal Pradesh,704238000.0
Assam,10035200000.0
Bihar,58381300000.0
Chandigarh,2339920000.0
Chhattisgarh,15410000000.0
Dadra and Nagar Haveli and Daman and Diu,734034000.0
Delhi,65953600000.0
Goa,1391930000.0
Gujarat,41853700000.0
Haryana,37056100000.0
Himachal Pradesh,4428010000.0
Jammu & Kashmir,5666320000.0
Jharkhand,17044400000.0
Karnataka,142911000000.0
Kerala,11630600000.0
Ladakh,240306000.0
Lakshadweep,8602730.0
Madhya Pradesh,61758800000.0
Maharashtra,130558000000.0
Manipur,679786000.0
Meghalaya,446537000.0
Mizoram,233472000.0
Nagaland,487705000.0
Odisha,41423300000.0
Puducherry,1109340000.0
Punjab,16258900000.0
Rajasthan,79466500000.0
Sikkim,674044000.0
Tamil Nadu,57924100000.0
Telangana,141096000000.0
Tripura,751114000.0
Uttar Pradesh,87581500000.0
Uttarakhand,7752950000.0
West Bengal,48395000000.0

